id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00201,Koprivnica DG,46.24703,16.94493,10,29.8,True,True,
EU00202,Beli Manastir DG,45.79834,18.55795,4,89.1,True,True,
EU00203,Kotoriba DG,46.35918,16.85202,5,36.6,True,True,
EU00213,Mursko Središće DG,46.51546,16.44405,5,3.1,True,True,
EU00214,Kumrovec DG,46.11559,15.60657,5,44.1,True,True,
EU00215,Kamanje DG,45.64556,15.34289,7,0.7,True,True,
EU00216,Savski Marof DG,45.89068,15.68015,10,0.9,True,True,
EU00217,Šapjane DG,45.50518,14.24422,3,14.6,True,True,
EU00218,Čakovec DG,46.38822,16.30414,4,3.2,True,True,
EU00219,Buzet DG,45.45398,13.9501,1,1217.6,False,True,
EU00220,Đurmanec DG,46.21231,15.77691,4,12.1,True,True,
EU00221,Slavonski Šamac DG,45.061,18.49626,4,20.3,True,True,
EU00222,Metković DG,43.05886,17.65746,10,6.5,True,True,
EU00223,Volinja Dg,45.18939,16.48235,5,36.0,True,True,
EU00225,Drenovci DG,44.86828,18.8309,4,90.5,True,True,
EU00226,Tovarnik DG,45.14734,19.16442,6,2.2,True,True,
EU00227,Erdut DG,45.52332,19.08632,2,152.4,False,True,
HR12922,Zagreb Klara (stajalište),45.7557,15.9814,10,2.6,True,True,
HR71001,Tovarnik,45.1555,19.1486,12,4.5,True,True,
HR71002,Ilača,45.1734,19.0897,10,5.8,True,True,
HR71003,Banovci,45.1801,19.067,9,7.7,True,True,
HR71004,Vinkovački Banovci,45.1858,19.0473,9,0.9,True,True,
HR71005,Đeletovci,45.193,19.0227,6,6.1,True,True,
HR71006,Orolik,45.2067,18.9756,10,9.0,True,True,
HR71007,Slakovci,45.2151,18.9463,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HR71008,Srijemske Laze,45.2272,18.9278,10,5.6,True,True,
HR71009,Jankovci,45.2447,18.9034,7,6.5,True,True,
HR71010,Mirkovci,45.2788,18.8561,10,4.5,True,True,
HR71101,Ivankovo,45.2784,18.6675,13,4.1,True,True,
HR71102,Vođinci,45.2697,18.6138,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
HR71103,Stari Mikanovci,45.2666,18.5397,9,4.0,True,True,
HR71104,Strizivojna-Vrpolje,45.2273,18.4137,25,17.2,True,True,
HR71160,Vinkovci,45.3004,18.8028,49,14.6,True,True,
HR71201,Nuštar,45.3364,18.8413,3,71.9,True,True,
HR71203,Bršadin-Lipovača,45.3677,18.9165,5,12.7,True,True,
HR71204,Vukovar-Borovo naselje,45.3734,18.9552,15,53.8,True,True,
HR71205,Borovo-Trpinja,45.4081,18.9658,2,25.0,True,False,
HR71206,Novi Dalj,45.4797,18.9582,1,2246.2,False,False,
HR71207,Dalj,45.5005,18.9672,9,11.1,True,True,
HR71208,Erdut,45.5074,19.0491,7,4.9,True,True,
HR71211,Đergaj,45.36942,18.92595,2,119.3,False,True,
HR71301,Vrapčana,45.2609,18.8262,5,12.4,True,False,
HR71302,Privlaka,45.1984,18.8485,6,6.5,True,True,
HR71303,Otok,45.1456,18.8719,7,3.5,True,True,
HR71304,Spačva,45.0412,18.9041,6,6.0,True,True,
HR71305,Vrbanja,44.9825,18.8851,4,4.2,True,True,
HR71306,Drenovci,44.9198,18.8589,6,5.1,True,True,
HR71307,Gunja,44.8828,18.8443,7,2.5,True,True,
HR71309,Vinkovci Bolnica,45.2926,18.8226,6,9.9,True,True,
HR71401,Vinkovačko Novo Selo,45.29,18.7815,5,5.2,True,True,
HR71402,Andrijaševci,45.23,18.7305,3,17.2,True,True,
HR71403,Cerna,45.1942,18.6991,5,6.3,True,True,
HR71404,Gradište,45.1444,18.6999,4,35.2,True,True,
HR71405,Županja,45.0833,18.6964,9,15.0,True,False,
HR71406,Rokovci,45.2413,18.7316,4,5.0,True,True,
HR71452,Vukovar,45.3624,18.9868,17,4.7,True,True,
HR71501,Ostrovo,45.3357,18.7775,5,2.9,True,True,
HR71502,Gaboš,45.354,18.7432,3,3.9,True,True,
HR71503,Markušica-Antin,45.3814,18.7336,4,40.2,True,True,
HR71504,Laslovo-Korođ,45.4145,18.7073,6,21.0,True,True,
HR71505,Ernestinovo,45.4451,18.6676,4,0.2,True,True,
HR71506,Antunovac,45.4836,18.6701,3,11.9,True,True,
HR71507,Brijest,45.517,18.6721,7,5.4,True,True,
HR71601,Bijelo Brdo,45.5131,18.859,3,15.4,True,True,
HR71602,Sarvaš,45.5208,18.8344,11,11.1,True,True,
HR71603,Osijek Donji grad,45.5522,18.7213,22,2.8,True,True,
HR71604,Nemetin,45.5342,18.7785,5,71.3,True,False,
HR71605,Osijek OLT,45.5541,18.7055,6,6.2,True,True,
HR71606,Standard,45.5453,18.7421,9,8.5,True,True,
HR71607,Osijek Luka,45.5366,18.7677,6,2.4,True,True,
HR71701,Osijek Dravski Most,45.5588,18.7036,25,10.5,True,True,
HR71703,Darda,45.6339,18.6993,7,7.4,True,True,
HR71704,Čeminac,45.6859,18.6554,4,24.9,True,True,
HR71705,Beli Manastir,45.7657,18.5961,21,5.1,True,True,
HR71790,Belišće,45.6823,18.4211,6,175.5,False,True,
HR71791,Ladimirevci,45.6241,18.4601,5,7.9,True,True,
HR71802,Čepin,45.5206,18.5779,4,2.1,True,True,
HR71803,Vladislavci,45.4755,18.5587,9,1.1,True,True,
HR71804,Dopsin,45.4631,18.5503,2,1.4,True,True,
HR71805,Hrastovac-Vučki,45.4432,18.5399,2,10.3,True,True,
HR71807,Viškovci,45.3464,18.4265,4,6.7,True,True,
HR71808,Đakovo,45.3136,18.4218,14,7.9,True,True,
HR71809,Budrovci,45.261,18.4207,4,9.5,True,True,
HR71810,Lipovac-Koritna,45.4215,18.5237,4,2.8,True,True,
HR71901,Josipovac,45.5742,18.5901,14,1.1,True,True,
HR71902,Samatovci,45.5908,18.5026,4,11.3,True,True,
HR71903,Bizovac,45.5871,18.453,11,6.5,True,True,
HR71904,Cret,45.5735,18.4098,5,11.3,True,True,
HR71905,Normanci,45.5573,18.3665,4,1.7,True,True,
HR71906,Koška,45.5415,18.2954,10,2.8,True,True,
HR71907,Niza,45.5428,18.2346,4,3.0,True,True,
HR71908,Našička Breznica,45.5315,18.1907,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
HR71909,Jelisavac,45.5234,18.1548,5,10.6,True,True,
HR71910,Višnjevac,45.5614,18.6198,4,4.8,True,True,
HR71911,Višnjevac IPK,45.5664,18.6066,5,2.7,True,True,
HR71912,Frigis,45.5584,18.6357,5,9.0,True,True,
HR71913,Petrove Gore,45.5557,18.6505,3,3.6,True,True,
HR71914,Vodovod,45.5524,18.6682,6,3.8,True,True,
HR71922,Valpovo,45.6616,18.4252,5,31.7,True,False,
HR71960,Osijek,45.5527,18.6834,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
HR72001,Jasenovac,45.2761,16.9106,10,2.2,True,True,
HR72002,Višnjica,45.2565,16.8803,7,6.6,True,True,
HR72003,Hrvatska Dubica,45.2217,16.8062,7,4.2,True,True,
HR72004,Živaja,45.247,16.7276,6,4.1,True,True,
HR72005,Šaš,45.285,16.6684,6,5.3,True,True,
HR72006,Papići,45.3079,16.6345,3,6.7,True,True,
HR72007,Staza,45.3286,16.6037,3,4.5,True,True,
HR72008,Cerovljani,45.2226,16.773,4,5.1,True,True,
HR72060,Sunja,45.3555,16.5505,22,1.8,True,True,
HR72101,Brđani Krajiški,45.383,16.4946,3,30.2,True,True,
HR72102,Blinjski Kut,45.4158,16.4577,6,9.1,True,True,
HR72103,Sisak Caprag,45.4581,16.3905,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
HR72201,Hrastovac,45.3115,16.5465,7,7.5,True,True,
HR72202,Graboštani,45.2805,16.5415,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HR72203,Majur,45.2574,16.528,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HR72204,Hrvatska Kostajnica,45.2353,16.5274,4,8.8,True,True,
HR72205,Volinja,45.2024,16.4861,11,6.7,True,True,
HR72209,Kumrovec,46.0763,15.6582,2,30.0,True,True,
HR72301,Zagreb Resnik,45.8101,16.0679,8,15.9,True,True,
HR72302,Zagreb Žitnjak,45.7735,16.048,6,10.6,True,True,
HR72303,Zagreb RK OS,45.7541,16.0276,23,21.0,True,True,
HR72304,Zagreb Rk PS (sredina),45.7574,15.9969,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
HR72401,Sesvetski Kraljevec,45.8107,16.1689,9,1.6,True,True,
HR72402,Sesvete,45.8248,16.1099,26,11.8,True,True,
HR72403,Čulinec,45.8208,16.0636,16,2.4,True,True,
HR72404,Trnava,45.8184,16.0494,19,11.6,True,True,
HR72405,Maksimir,45.8141,16.0237,9,18.8,True,True,
HR72408,Sesvetska Sopnica,45.82454,16.08571,9,6.5,True,True,
HR72460,Zagreb Borongaj,45.8165,16.0378,20,30.0,True,False,
HR72480,Zagreb GK,45.8045,15.9788,99,3.8,True,True,
HR72501,Stara Subocka,45.3641,16.9114,4,8.4,True,True,
HR72502,Lipovljani,45.3868,16.8824,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HR72503,Banova Jaruga,45.4457,16.8762,15,1.7,True,True,
HR72504,Ilova,45.4507,16.8343,4,20.2,True,True,
HR72505,Kutina,45.4749,16.7745,18,59.2,True,True,
HR72506,Repušnica,45.4892,16.7291,6,18.8,True,True,
HR72507,Moslavačka Gračenica,45.514,16.6892,7,13.0,True,True,
HR72508,Voloder,45.5376,16.6579,4,19.7,True,True,
HR72509,Popovača,45.5592,16.6235,13,1.5,True,True,
HR72510,Ludina,45.6006,16.5696,8,12.8,True,True,
HR72511,Novoselec,45.6493,16.5299,8,8.2,True,True,
HR72512,Širinec,45.6714,16.4909,4,6.1,True,True,
HR72513,Deanovec,45.6895,16.46,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HR72514,Ivanić Grad,45.7074,16.3978,15,11.8,True,True,
HR72515,Prečec stajalište,45.7597,16.3506,4,3.7,True,True,
HR72516,Ostrna,45.7941,16.2711,4,1.8,True,True,
HR72517,Dugo Selo,45.8014,16.2347,23,0.7,True,True,
HR72560,Novska,45.3269,16.9767,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
HR72601,Vrbova,45.2097,17.5831,13,5.6,True,True,
HR72602,Staro Petrovo Selo,45.2221,17.5259,12,4.5,True,True,
HR72603,Zapolje,45.2356,17.4629,9,8.9,True,True,
HR72604,Nova Gradiška,45.2534,17.3793,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HR72605,Dragalić,45.2526,17.2882,9,3.7,True,True,
HR72606,Okučani,45.2524,17.2063,18,6.2,True,True,
HR72608,Rajić,45.296,17.1025,9,8.6,True,True,
HR72701,Slobodnica,45.177,17.9272,11,5.5,True,True,
HR72702,Sibinj,45.1809,17.9045,9,7.2,True,True,
HR72703,Stari Slatnik,45.1702,17.842,7,54.1,True,True,
HR72704,Kuti,45.1636,17.8129,9,1.4,True,True,
HR72705,Brodski Stupnik,45.1606,17.7952,9,14.0,True,True,
HR72706,Oriovac,45.1613,17.7537,12,3.7,True,True,
HR72707,Lužani-Malino,45.1705,17.7168,9,6.1,True,True,
HR72708,Nova Kapela Batrina,45.1898,17.6503,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HR72801,Perkovci,45.2086,18.3496,9,17.1,True,True,
HR72802,Andrijevci,45.1908,18.2929,14,5.4,True,True,
HR72803,Staro Toplje,45.1829,18.2472,9,13.7,True,True,
HR72804,Garčin,45.1735,18.186,14,3.6,True,True,
HR72805,Zadubravlje,45.1685,18.1535,13,10.6,True,True,
HR72806,Donja Vrba,45.1636,18.1215,9,1.8,True,True,
HR72807,Slavonski Brod,45.1636,18.0112,50,2.5,True,True,
HR72901,Sisak,45.4921,16.3734,37,3.3,True,True,
HR72902,Stupno,45.5022,16.332,4,11.9,True,True,
HR72903,Greda,45.5306,16.293,7,5.9,True,True,
HR72904,Lekenik,45.5845,16.2188,9,7.8,True,True,
HR72905,Pešćenica,45.6145,16.1772,5,12.3,True,True,
HR72906,Turopolje,45.6477,16.1313,11,1.6,True,True,
HR72907,Mraclin,45.6688,16.1021,4,15.9,True,True,
HR72908,Velika Gorica,45.7086,16.0469,13,1.3,True,True,
HR72921,Odra,45.7339,16.0117,1,609.9,False,False,
HR72922,Zagreb Klara,45.7601,15.9752,14,8.3,True,False,
HR72923,Buzin,45.7434,15.9984,3,30.7,True,True,
HR73001,Pčelić,45.7801,17.5256,9,6.5,True,True,
HR73002,Suhopolje,45.794,17.4869,8,3.1,True,True,
HR73003,Virovitica,45.8251,17.3986,22,3.2,True,True,
HR73004,Virovitica grad,45.8268,17.386,9,21.2,True,True,
HR73005,Špišić Bukovica,45.8458,17.2988,10,3.4,True,True,
HR73006,Vukosavljevica,45.8749,17.2538,3,2.9,True,True,
HR73007,Pitomača,45.9426,17.2295,11,9.9,True,True,
HR73008,Kloštar,45.9814,17.1393,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HR73009,Kalinovac,46.0128,17.0959,4,18.4,True,True,
HR73010,Đurđevac,46.0273,17.0652,8,18.6,True,True,
HR73011,Virje,46.0686,17.0045,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
HR73012,Novigrad Podravski,46.0846,16.955,4,5.3,True,True,
HR73014,Bregi,46.1267,16.892,9,6.6,True,True,
HR73101,Mučna Reka,46.1231,16.7605,12,2.9,True,True,
HR73102,Sokolovac,46.101,16.7119,7,114.7,False,True,
HR73103,Lepavina,46.0979,16.685,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HR73104,Carevdar,46.0655,16.6471,7,36.0,True,True,
HR73105,Vojakovački Kloštar,46.0492,16.6212,7,3.2,True,True,
HR73106,Majurec,46.0267,16.5902,7,30.6,True,True,
