id,name,lat,lon,osm_elements,error,min_distance_m,within_threshold,osm_type_compatible
EU00141,Peberholm grÃ¤nsen,55.605923,12.738071,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
EU00234,Kornsjö gränsen,58.93476,11.66987,7,,1.8,True,True
EU00235,Charlottenberg gränsen,59.93187,12.24341,7,,1.2,True,True
EU00236,Storlien gränsen,63.337,12.0605,8,,15.1,True,True
EU00237,Riksgränsen Vj-Bjf,68.43004,18.10572,17,,1.4,True,True
EU00239,Riksgräns Haparanda - Tornio,65.827855,24.150731,4,,0.2,True,True
SE00100,Ã–resundsbro Konsortiet - Trafikverket km 281+810,55.565508,12.90286,12,,4.9,True,True
SEA,Alingsås,57.9269,12.5322,26,,18.1,True,True
SEAal,Annedal,56.1276,12.9296,8,,6.0,True,True
SEAb,Arbrå,61.471,16.3798,8,,44.9,True,True
SEAgb,Agnesberg,57.7811,12.0071,4,,25.9,True,False
SEAgg,Algutsgården,57.9881,12.6519,23,,0.7,True,False
SEAhm,Aleholm,57.3982,14.6635,4,,134.6,False,False
SEAjr,Arvidsjaur,65.5887,19.1685,40,,4.5,True,True
SEAk,Abisko östra,68.3486,18.8303,10,,71.0,True,True
SEAl,Arlöv,55.6339,13.0684,55,,0.7,True,True
SEAlh,Alvhem,58.0108,12.1577,13,,14.6,True,False
SEAlä,Almnäs,59.1694,17.5078,2,,6.8,True,False
SEAm,Almedal,57.684,12.004,10,,25.4,True,False
SEAmk,Arnemark,65.4913,21.2179,4,,49.4,True,False
SEAn,Arvån,64.5584,19.003,4,,13.6,True,True
SEAnö,Anundsjö,63.4266,18.1438,7,,24.4,True,False
SEAp,Aspeå,63.3877,17.5136,6,,23.8,True,False
SEApd,Aplared,57.6512,13.0744,4,,27.1,True,False
SEApt,Aptas,67.7641,20.4434,3,,15.3,True,False
SEAr,Arvika,59.6536,12.5908,33,,11.7,True,True
SEAra,Arnäsvall,63.308,18.7859,9,,27.8,True,False
SEArb,Arboga,59.3972,15.8405,10,,15.4,True,True
SEArnc,Arlanda central,59.6491,17.9285,11,,30.7,True,True
SEArne,Arlanda nedre,59.6327,17.9231,3,,248.1,False,False
SEArnn,Arlanda norra,59.6515,17.9298,9,,89.3,True,True
SEArns,Arlanda södra,59.6468,17.9283,5,,22.4,True,True
SEAtp,Attarp,56.1372,13.8487,2,,91.5,True,False
SEAv,Alvesta,56.898,14.5562,39,,22.3,True,True
SEAva,Avaviken,65.6051,18.6509,7,,10.5,True,True
SEAvky,Avesta Krylbo,60.1295,16.2161,31,,2.5,True,True
SEAx,Axmarby,61.0074,17.1136,3,,6.3,True,False
SEAy,Alby,62.4901,15.4747,23,,2.2,True,False
SEAä,Alväng,59.379,15.566,6,,2.5,True,False
SEB,Björnlunda,59.0656,17.1547,12,,10.1,True,True
SEBaa,Barkåkra,56.2937,12.8246,4,,111.3,False,False
SEBaö,Backsjön,63.3247,17.2995,6,,1.9,True,False
SEBbe,Blyberg,61.1533,14.1378,10,,28.7,True,True
SEBdn,Boden central,65.8288,21.7081,59,,5.7,True,True
SEBdo,Broddbo,59.9869,16.4819,9,,15.5,True,True
SEBds,Bodens södra,65.8255,21.6474,13,,4.7,True,False
SEBe,Backe,63.8073,16.4269,8,,18.9,True,True
SEBen,Bredviken,65.8374,23.2332,6,,69.5,True,False
SEBet,Bruksberget,66.0036,22.7136,2,,12.0,True,False
SEBf,Brunflo,63.076,14.8326,11,,17.2,True,True
SEBfo,Billingsfors,58.982,12.2497,12,,7.8,True,True
SEBfs,Bergfors,68.1473,19.7827,6,,11.0,True,True
SEBg,Berga,57.2165,16.0334,24,,7.8,True,True
SEBgs,Bryngenäs,57.8978,12.4876,6,,47.9,True,False
SEBgv,Bälgviken,59.2527,16.4606,8,,10.6,True,False
SEBhb,Bräkne-Hoby,56.2314,15.1161,14,,6.4,True,True
SEBhs,Bohus,57.864,12.0196,3,,97.0,True,False
SEBia,Birsta,62.4471,17.3126,6,,60.5,True,False
SEBib,Billeberga,55.8838,12.9958,12,,4.5,True,True
SEBih,Billesholm,56.0564,12.9768,15,,12.7,True,True
SEBj,Björna,63.5514,18.5969,2,,197.6,False,False
SEBja,Bjästa,63.2116,18.4445,2,,56.4,True,False
SEBjb,Björneborg,59.2444,14.2504,11,,14.7,True,False
SEBjh,Bjurhem,58.4285,12.2801,6,,36.6,True,False
SEBjm,Bjärnum,56.2929,13.7041,8,,18.6,True,True
SEBjn,Björnkulla,59.2038,17.9286,4,,47.2,True,False
SEBjuv,Bjuv,56.0826,12.9111,14,,32.5,True,True
SEBjö,Björnsjö,63.5077,18.4603,7,,23.0,True,False
SEBkb,Barkarby,59.4054,17.8637,10,,10.8,True,True
SEBld,Blädinge,56.8415,14.5044,10,,36.5,True,True
SEBlgc,Borlänge central,60.4829,15.4255,65,,12.7,True,True
SEBln,Björkliden,68.4084,18.6864,6,,18.0,True,True
SEBlv,Burlöv,55.6409,13.0804,18,,35.4,True,True
SEBma,Blomstermåla,56.9807,16.3321,20,,11.5,True,True
SEBml,Bromölla,56.0672,14.4816,10,,8.8,True,True
SEBmo,Båramo,57.4536,14.0907,14,,58.1,True,True
SEBn,Bollnäs,61.3495,16.3917,27,,10.7,True,True
SEBna,Brunna,59.8614,17.4289,3,,12.3,True,False
SEBoa,Borgstena,57.883,13.0148,6,,5.8,True,True
SEBoda,Boda,61.5905,17.0081,6,,128.6,False,False
SEBof,Bofors,59.3333,14.5469,24,,23.6,True,False
SEBom,Bomansberget,60.6508,17.2418,3,,102.2,False,False
SEBor,Bor,57.1161,14.1686,23,,10.5,True,True
SEBorn,Born,61.1353,14.643,3,,64.7,True,False
SEBoy,Bollebygd,57.6675,12.57,6,,7.3,True,True
SEBp,Brännarp,56.7881,12.7281,14,,5.0,True,True
SEBra,Brista,59.61,17.8672,6,,32.0,True,False
SEBrd,Brännland,63.8806,20.0566,3,,9.9,True,False
SEBre,Bränninge,59.1405,17.6352,6,,8.8,True,False
SEBrg,Brännberg,65.7831,21.2257,4,,7.3,True,False
SEBrh,Brattheden,59.788,16.1811,3,,8.1,True,False
SEBrl,Brålanda,58.56,12.349,7,,4.0,True,True
SEBrn,Brånan,62.6938,14.409,8,,23.0,True,True
SEBrny,Bro Nygård,59.4977,17.672,6,,70.8,True,False
SEBro,Bro,59.5123,17.633,18,,3.9,True,True
SEBrs,Brattsbacka,63.7848,19.1858,7,,6.7,True,False
SEBry,Bankeryd,57.8604,14.1282,12,,13.9,True,True
SEBrå,Bjurå,66.0356,22.1495,2,,48.1,True,False
SEBsb,Bensjöbacken,62.7036,15.4543,8,,129.3,False,False
SEBsc,Borås central,57.7203,12.931,54,,12.4,True,True
SEBsd,Brunnsgård,57.4226,15.1069,3,,7.8,True,False
SEBsg,Bispgården,63.0287,16.6209,13,,4.7,True,False
SEBst,Bastuträsk,64.789,20.0415,9,,22.4,True,True
SEBsä,Bjärka-Säby,58.2706,15.7528,11,,10.7,True,False
SEBt,Baggetorp,59.0096,16.0649,10,,65.1,True,False
SEBtb,Brattby,63.911,19.8816,2,,35.5,True,False
SEBtp,Biskopstorp,56.7496,12.8589,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
SEBtå,Betåsen,63.552,16.8137,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
SEBu,Brunsbergstunneln,59.6224,12.9466,6,,4.9,True,False
SEBud,Buddbyn,65.863,21.7084,3,,9.4,True,False
SEBva,Barva,59.3434,16.7928,5,,3.7,True,False
SEBvr,Blackvreten,59.6076,17.9076,6,,32.0,True,False
SEBx,Boxholm,58.1929,15.0536,17,,23.1,True,True
SEBy,Byvalla,60.347,16.4163,12,,35.5,True,False
SEByä,Byälven,59.1386,12.9221,4,,1.4,True,False
SEBä,Bräcke,62.75,15.4176,17,,16.6,True,True
SEBäb,Bäckebron,59.661,13.1662,7,,14.7,True,True
SEBäf,Bäckefors,58.8043,12.1593,8,,5.3,True,True
SEBål,Bålsta,59.5694,17.5319,10,,9.4,True,True
SEBån,Båstad norra,56.4308,12.9052,11,,0.4,True,True
SEBög,Brännögård,57.0055,13.1008,3,,135.1,False,False
SEBön,Bodsjön,62.8146,15.4213,8,,9.8,True,False
SEBöo,Björbo,60.4531,14.7288,8,,8.0,True,True
SECas,Callans såg,62.5135,15.993,3,,83.9,True,False
SECg,Charlottenberg,59.8831,12.2993,21,,4.8,True,True
SECk,Karlskrona central,56.1671,15.5853,38,,10.7,True,True
SECr,Kristianstads central,56.0322,14.1508,29,,7.9,True,True
SECrgb,Kristianstad GBG,56.0412,14.1569,14,,56.4,True,False
SECrs,Kristianstads södra,56.0217,14.1631,32,,5.7,True,True
SECst,Stockholms central,59.33,18.0573,140,,4.5,True,True
SED,Degerön,58.7015,15.1518,6,,14.0,True,False
SEDat,Dammstorp,55.8019,13.2832,10,,3.1,True,True
SEDbn,Degerbäcken,65.8395,21.4018,2,,14.8,True,False
SEDg,Degerfors,59.2289,14.4404,25,,7.1,True,True
SEDgm,Degermyr,63.8719,19.6059,4,,2.3,True,False
SEDgn,Dalgränsen,60.3828,16.4535,4,,11.7,True,False
SEDgö,Daglösen,59.6421,14.1914,15,,9.6,True,True
SEDiö,Diö norra,56.6361,14.2211,10,,5.1,True,False
SEDj,Dala-Järna,60.5477,14.3627,7,,21.0,True,True
SEDk,Dockmyr,62.9546,15.739,6,,4.4,True,False
SEDl,Dingle,58.5296,11.5791,17,,5.1,True,True
SEDld,Dals Långed,58.9234,12.3062,9,,11.6,True,True
SEDma,Dannemora,60.1961,17.848,5,,2.5,True,True
SEDmn,Domnarvet,60.4937,15.4458,24,,20.9,True,False
SEDn,Dagarn,59.9081,15.7171,4,,32.3,True,False
SEDns,Dynäs,62.9663,17.7377,6,,14.8,True,False
SEDrt,Dals Rostock,58.7135,12.3553,4,,25.7,True,True
SEDt,Dingtuna,59.5716,16.3898,11,,3.9,True,True
SEDta,Dorotea,64.2582,16.4059,18,,17.0,True,True
SEDu,Duved,63.3898,12.9175,33,,5.7,True,True
SEDuo,Duvbo,59.3707,17.9322,15,,3.1,True,False
SEDy,Dysjön,62.628,15.5155,5,,21.6,True,False
SEDån,Dånviken,59.1899,17.7143,6,,18.5,True,False
SEDöe,Drömme,63.2505,18.2202,6,,100.6,False,False
SEDöl,Döljebro,60.994,16.6869,6,,125.5,False,False
SEE,Eslöv,55.8377,13.3054,48,,12.8,True,True
SEEa,Eldsberga,56.5909,12.9981,9,,5.0,True,True
SEEbg,Enstaberga,58.751,16.8491,5,,12.1,True,True
SEEby,Ekeby,59.7769,17.7553,10,,17.6,True,True
SEEd,Ed,58.9135,11.9329,11,,25.5,True,True
SEEi,Erikslund,62.5274,15.9126,6,,56.2,True,False
SEEk,Eksjö,57.6638,14.9754,26,,5.0,True,True
SEEko,Ekolsund,59.6141,17.3702,9,,13.4,True,False
SEEl,Edsvalla,59.4358,13.2126,7,,10.7,True,False
SEEm,Emmaboda,56.6298,15.5349,26,,1.8,True,True
SEEn,Edane,59.6268,12.8293,13,,4.7,True,True
SEEns,Enafors,63.2898,12.3373,13,,5.7,True,True
SEEp,Enköping,59.6446,17.0887,10,,8.3,True,True
SEEr,Ervalla,59.417,15.2476,8,,1.2,True,False
SEEra,Eneryda,56.7079,14.3397,8,,3.2,True,True
SEErk,Erikstad,58.6314,12.4106,6,,3.8,True,True
SEEsn,Ekenässjön,57.4905,15.0189,7,,19.7,True,True
SEEt,Eskilstuna central,59.3694,16.5055,23,,1.1,True,True
SEEtk,Ekträsk,64.4962,19.8096,7,,5.5,True,False
SEF,Falköpings central,58.1757,13.552,43,,12.8,True,True
SEFa,Finnerödja,58.9262,14.4429,12,,16.6,True,False
SEFabg,Falkenbergs godsstation,56.9016,12.4875,15,,22.4,True,False
SEFabp,Falkenberg personstation,56.9195,12.5087,11,,13.1,True,True
SEFal,Falerum,58.1436,16.2072,14,,12.9,True,True
SEFas,Farsta strand,59.2367,18.1041,21,,7.0,True,True
SEFb,Forsbacka,60.6397,16.8885,4,,6.1,True,False
SEFby,Floby,58.1387,13.3322,12,,49.2,True,True
SEFd,Floda,57.81,12.3615,10,,15.9,True,True
SEFdf,Frändefors,58.4943,12.2797,7,,47.8,True,False
SEFeb,Fellingsbro,59.4328,15.595,15,,5.1,True,False
SEFeö,Fågelsjö,61.8016,14.6821,7,,10.7,True,True
SEFfs,Finnforsfallet,64.7774,20.3331,3,,8.1,True,False
SEFg,Finspång,58.7072,15.7755,5,,138.4,False,False
SEFgc,Fagersta central,59.9905,15.8155,23,,6.7,True,True
SEFgl,Fågelsta,58.4586,15.0394,11,,25.2,True,False
SEFgå,Fagerås,59.5198,13.2182,5,,28.2,True,True
SEFgö,Fångsjöbacken,63.054,16.781,7,,6.7,True,False
SEFhm,Forshem,58.6181,13.4918,13,,14.6,True,True
SEFi,Fiskeby,58.6051,16.1239,16,,30.9,True,True
SEFil,Fillan,62.4262,17.382,3,,234.1,False,False
SEFin,Finja,56.1697,13.6955,6,,21.0,True,False
SEFjå,Fjällåsen,67.5194,20.0937,9,,13.8,True,True
SEFki,Fjälkinge,56.0414,14.2981,2,,37.3,True,False
SEFkr,Fåker,62.9932,14.5744,4,,6.5,True,True
SEFl,Flädie,55.7237,13.074,5,,1.3,True,False
